vehicle_id,brand,model,vehicle_type,fuel_type,ex_showroom_price,on_road_price,mileage_kmpl_or_range_km,engine_cc,power_bhp,transmission,number_of_variants,number_of_colors,city,rating,review_count,model_year
1,Suzuki,V-Strom SX,Bike,Petrol,430838,481987,69.3,160,12.9,Manual,3,4,Ahmedabad,4.5,1695,2023
2,Honda,Hornet 2.0,Scooter,Petrol,317709,372799,40.0,160,30.5,Manual,3,1,Lucknow,3.3,985,2025
3,Bajaj,Dominar 400,Bike,Petrol,393947,465502,63.7,125,39.7,Manual,4,4,Jaipur,4.1,251,2024
4,Ather,450X,Electric Scooter,Electric,209243,242601,116.5,1,6.2,Manual,4,1,Hyderabad,3.5,1031,2024
5,Yamaha,MT-15,Scooter,Petrol,236829,287212,41.3,110,36.5,Automatic,4,4,Jaipur,4.9,347,2025
6,Royal Enfield,Classic 350,Bike,Petrol,282851,316746,64.3,350,18.3,Manual,3,1,Ahmedabad,3.2,1172,2025
7,Hero,Xtreme 125R,Bike,Petrol,194312,216445,64.2,400,20.6,Automatic,4,1,Kolkata,3.8,1761,2023
8,Bajaj,Dominar 400,Scooter,Petrol,338109,411345,75.5,100,21.6,Automatic,3,2,Kolkata,4.6,880,2025
9,Ather,450X,Electric Scooter,Electric,135015,159785,160.0,1,10.6,Manual,5,5,Hyderabad,4.9,1732,2025
10,Yamaha,FZ-X,Scooter,Petrol,436369,503912,72.3,350,11.0,Manual,4,3,Lucknow,3.4,1506,2025
11,Hero,Splendor Plus,Bike,Petrol,202848,227141,72.7,350,18.6,Manual,4,5,Delhi,3.4,693,2026
12,Yamaha,FZ-FI,Scooter,Petrol,378149,447561,78.9,150,16.4,Automatic,3,1,Ahmedabad,3.3,2170,2024
13,Honda,Hornet 2.0,Scooter,Petrol,417228,466205,53.8,100,16.1,Manual,4,4,Kolkata,4.6,132,2023
14,Yamaha,Fascino 125,Scooter,Petrol,171081,204579,65.3,450,38.0,Manual,5,5,Bengaluru,4.3,1965,2025
15,KTM,250 Duke,Bike,Petrol,302714,358084,53.9,250,13.6,Manual,4,1,Jaipur,3.4,2208,2025
16,KTM,250 Duke,Bike,Petrol,373987,423091,47.0,350,26.6,Automatic,4,4,Chennai,4.8,2066,2023
17,Bajaj,Pulsar NS200,Scooter,Petrol,131690,155005,74.3,200,36.6,Manual,4,3,Bengaluru,3.9,1506,2025
18,Ather,Rizta S,Electric Scooter,Electric,106357,129685,150.4,1,9.5,Manual,3,5,Hyderabad,3.9,1425,2025
19,Bajaj,Pulsar 125,Scooter,Petrol,371208,420142,61.7,450,21.0,Manual,4,5,Bengaluru,4.8,2084,2024
20,Royal Enfield,Hunter 350,Scooter,Petrol,434599,518140,74.6,125,28.7,Manual,4,5,Chennai,4.8,1778,2023
21,Ola,Roadster,Electric Scooter,Electric,200294,227671,196.0,0,5.8,Manual,3,3,Mumbai,4.2,1768,2024
22,KTM,250 Duke,Scooter,Petrol,101631,114894,48.4,200,20.6,Manual,4,1,Ahmedabad,4.5,255,2026
23,Suzuki,Avenis 125,Scooter,Petrol,215262,260379,56.8,110,39.9,Manual,3,4,Hyderabad,4.4,409,2024
24,Bajaj,Dominar 400,Scooter,Petrol,207038,241224,66.9,125,24.7,Manual,4,2,Pune,3.7,691,2024
25,Yamaha,R15 V4,Scooter,Petrol,178632,214545,73.1,160,24.4,Manual,4,3,Kolkata,3.4,278,2024
26,KTM,250 Duke,Bike,Petrol,138847,153154,50.8,400,10.0,Automatic,5,1,Chennai,3.3,643,2023
27,Honda,Shine,Scooter,Petrol,252628,291098,51.2,250,32.0,Automatic,5,4,Lucknow,3.8,1006,2024
28,Ather,Rizta S,Electric Scooter,Electric,163832,189537,124.3,1,12.0,Manual,3,4,Delhi,4.0,366,2025
29,KTM,200 Duke,Scooter,Petrol,425260,499724,75.5,150,21.2,Manual,3,5,Hyderabad,4.3,345,2025
30,Honda,Shine,Scooter,Petrol,418151,479444,65.5,150,28.9,Automatic,3,5,Bengaluru,4.7,1301,2025
31,Hero,Splendor Plus,Scooter,Petrol,396593,465676,48.3,110,8.5,Manual,4,5,Lucknow,4.4,427,2025
32,Ather,Rizta,Electric Scooter,Electric,123513,142059,159.2,0,5.4,Automatic,4,5,Jaipur,4.2,1132,2026
33,TVS,Radeon,Bike,Petrol,261582,314686,63.2,250,42.4,Manual,3,1,Bengaluru,3.4,1306,2023
34,TVS,Sport,Scooter,Petrol,184180,223783,75.8,100,9.0,Automatic,3,4,Hyderabad,4.2,1400,2026
35,Royal Enfield,Himalayan 450,Bike,Petrol,167795,203627,53.1,450,15.1,Automatic,5,5,Chennai,4.1,2455,2025
36,KTM,390 Adventure,Bike,Petrol,103102,115181,61.8,450,11.4,Automatic,3,5,Pune,3.4,1686,2026
37,KTM,125 Duke,Scooter,Petrol,284930,321397,68.2,160,26.5,Automatic,3,1,Pune,4.7,520,2025
38,Ather,Rizta S,Electric Scooter,Electric,104870,120696,143.0,1,10.6,Automatic,5,3,Mumbai,4.0,1091,2026
39,Ola,Roadster,Bike,Electric,137224,157119,164.9,1,14.6,Manual,3,5,Pune,4.6,694,2026
40,Royal Enfield,Himalayan 450,Bike,Petrol,272611,302340,43.0,125,33.4,Manual,3,1,Chennai,4.5,480,2023
41,KTM,390 Duke,Scooter,Petrol,131203,151624,53.4,400,14.1,Manual,4,4,Chennai,5.0,1956,2024
42,Hero,Splendor Plus,Bike,Petrol,382428,464258,72.6,125,38.3,Automatic,5,1,Mumbai,3.3,807,2024
43,Royal Enfield,Hunter 350,Scooter,Petrol,92712,110323,59.2,100,21.3,Manual,5,3,Delhi,4.7,1643,2023
44,Bajaj,Pulsar 125,Bike,Petrol,243998,290355,74.6,100,27.3,Automatic,5,5,Chennai,4.9,92,2023
45,Royal Enfield,Hunter 350,Scooter,Petrol,372250,439480,51.0,150,15.7,Automatic,5,2,Lucknow,4.1,2175,2025
46,Honda,Hornet 2.0,Bike,Petrol,180765,201749,78.7,450,22.3,Manual,5,5,Chennai,4.4,2132,2025
47,Suzuki,V-Strom SX,Scooter,Petrol,71949,82921,64.3,110,21.9,Automatic,3,1,Ahmedabad,4.8,551,2025
48,KTM,250 Duke,Bike,Petrol,312940,362714,71.9,400,42.2,Manual,3,2,Pune,4.1,214,2024
49,Bajaj,Pulsar 125,Bike,Petrol,276791,310451,46.1,200,33.5,Automatic,3,3,Bengaluru,4.1,681,2024
50,KTM,250 Duke,Bike,Petrol,122108,135619,46.8,400,13.7,Manual,3,4,Lucknow,4.8,1978,2024
